week,SK_2022,SK_2023,RO_2022,RO_2023,HU_2022,HU_2023,PL_2022,PL_2023,EU_2022,EU_2023
1,0,45,0,0,0,26,0,18,0,89
2,6,47,0,0,0,19,0,17,6,83
3,3,56,0,0,0,11,0,17,3,83
4,6,57,0,0,0,4,0,18,6,78
5,31,40,0,13,25,8,0,14,56,75
6,35,33,0,22,34,19,0,12,69,86
7,35,33,0,11,33,31,0,13,68,88
8,34,34,0,0,14,30,0,12,47,76
9,20,27,0,0,22,42,0,13,42,83
10,19,24,0,0,29,52,0,18,47,94
11,19,24,0,0,29,52,0,15,48,91
12,19,24,0,0,31,50,0,22,50,96
13,11,18,0,0,18,37,0,18,29,72
14,0,0,0,0,0,5,0,6,0,11
15,0,0,0,0,2,5,0,6,2,11
16,0,0,0,0,1,4,0,8,1,11
17,0,0,0,0,0,7,0,7,0,14
18,0,0,0,0,1,2,1,0,2,3
19,0,0,0,0,0,2,5,1,5,3
20,0,0,0,0,0,3,4,2,4,5
21,0,0,0,0,0,3,10,1,10,4
22,0,0,0,0,0,0,15,1,15,1
23,0,0,0,0,0,3,15,0,15,3
24,0,0,0,10,0,11,9,1,9,22
25,0,0,0,13,0,26,8,1,8,40
26,2,0,0,18,0,38,9,6,11,62
27,4,0,0,28,0,52,11,15,15,96
28,4,0,0,28,0,54,17,23,21,105
29,4,0,0,29,0,51,25,30,29,109
30,4,0,0,28,1,55,21,27,25,110
31,8,106,0,36,2,53,18,28,28,224
32,8,120,0,38,11,50,15,16,34,224
33,8,151,0,38,15,51,15,24,38,264
34,8,126,0,38,17,48,14,24,40,236
35,4,105,0,28,2,53,8,27,13,213
36,0,97,0,27,0,56,4,31,4,210
37,0,113,0,31,2,49,3,29,5,222
38,0,111,0,37,2,46,3,27,5,220
39,0,95,0,42,1,39,4,18,5,194
40,0,20,0,17,4,52,15,24,19,112
41,0,5,0,17,8,46,23,8,31,77
42,12,0,0,20,7,41,32,2,52,63
43,48,0,0,23,9,37,46,1,103,61
44,60,0,0,7,10,39,24,3,94,48
45,33,0,0,0,2,5,8,0,43,5
46,2,0,0,0,3,0,0,0,5,0
47,0,0,0,0,7,0,0,0,7,0
48,0,0,16,0,21,0,0,0,37,0
49,0,,20,,37,,0,,57,
50,0,,21,,41,,0,,62,
51,0,,23,,18,,1,,41,
52,6,,18,,19,,3,,46,
