date,2022,Mittelwert,Maximum,Minimum
2022-01-01,50.43,73.321,87.66,60.74
2022-01-02,50.65,72.999,87.18,60.56
2022-01-03,50.7,72.598,87.0,60.16
2022-01-04,50.56,72.16900000000001,86.83,59.46
2022-01-05,50.1,71.688,86.71,58.79
2022-01-06,49.59,71.247,86.6,58.31
2022-01-07,49.06,70.771,86.52,57.99
2022-01-08,48.69,70.372,86.4,58.08
2022-01-09,48.31,69.953,86.21,58.27
2022-01-10,47.45,69.493,86.01,57.89
2022-01-11,46.54,68.994,85.85,57.47
2022-01-12,45.67,68.52799999999999,85.71,56.91
2022-01-13,44.9,68.09400000000001,85.49,56.09
2022-01-14,44.12,67.62100000000001,85.32,55.51
2022-01-15,43.63,67.082,85.08,54.83
2022-01-16,43.26,66.535,84.63,53.75
2022-01-17,42.7,65.885,83.95,52.55
2022-01-18,41.92,65.151,83.3,51.26
2022-01-19,41.31,64.463,82.9,50.09
2022-01-20,40.59,63.8,82.62,49.0
2022-01-21,39.75,63.157,82.51,48.26
2022-01-22,39.2,62.528,82.42,47.46
2022-01-23,38.71,61.922000000000004,82.21,46.32
2022-01-24,37.86,61.343999999999994,81.88,45.17
2022-01-25,36.99,60.79200000000001,81.62,43.93
2022-01-26,36.25,60.25,81.24,42.87
2022-01-27,35.71,59.748000000000005,80.91,41.98
2022-01-28,35.12,59.291999999999994,80.72,41.38
2022-01-29,34.93,58.849000000000004,80.48,40.84
2022-01-30,34.73,58.318999999999996,79.85,40.19
2022-01-31,34.22,57.760000000000005,78.92,39.52
2022-02-01,33.9,57.201,77.82,39.04
2022-02-02,33.55,56.625,76.37,38.57
2022-02-03,33.3,56.04,74.81,38.2
2022-02-04,33.12,55.464999999999996,73.45,37.97
2022-02-05,33.05,54.888999999999996,72.18,37.69
2022-02-06,32.98,54.30800000000001,70.59,37.11
2022-02-07,32.67,53.681999999999995,68.85,36.5
2022-02-08,32.44,53.021,67.23,35.8
2022-02-09,32.24,52.301,65.22,34.83
2022-02-10,31.85,51.657000000000004,64.53,33.83
2022-02-11,31.49,51.015,64.17,33.28
2022-02-12,31.26,50.417,63.82,33.07
2022-02-13,31.16,49.818,63.6,32.4
2022-02-14,31.0,49.268,63.38,31.78
2022-02-15,30.78,48.834,63.19,31.49
