date,2022,Mittelwert,Maximum,Minimum
2022-01-01,58.31,64.623,85.1,51.26
2022-01-02,58.44,64.123,84.26,50.93
2022-01-03,58.3,63.60699999999999,83.66,50.57
2022-01-04,57.97,63.048,83.06,50.25
2022-01-05,57.33,62.423,82.4,49.9
2022-01-06,56.64,61.766,81.46,49.57
2022-01-07,55.84,61.105,80.51,49.16
2022-01-08,55.33,60.467,79.74,48.53
2022-01-09,54.73,59.86800000000001,78.99,47.87
2022-01-10,53.71,59.258,78.31,47.27
2022-01-11,52.66,58.617999999999995,77.61,46.69
2022-01-12,51.64,57.99400000000001,77.06,46.05
2022-01-13,50.52,57.363,76.34,45.46
2022-01-14,49.37,56.648,75.25,44.93
2022-01-15,48.46,55.936,74.2,44.32
2022-01-16,47.67,55.211,73.13,43.71
2022-01-17,46.62,54.448,72.05,43.02
2022-01-18,45.6,53.634,70.91,42.36
2022-01-19,44.76,52.824,69.7,41.68
2022-01-20,43.82,52.028999999999996,68.32,41.13
2022-01-21,42.9,51.227,66.82,40.58
2022-01-22,42.04,50.429,65.3,39.93
2022-01-23,41.22,49.644,63.78,39.33
2022-01-24,40.28,48.893,62.41,38.81
2022-01-25,39.32,48.138,61.33,38.17
2022-01-26,38.34,47.412,60.43,37.48
2022-01-27,37.4,46.718,59.46,36.91
2022-01-28,36.67,46.069,58.41,36.41
2022-01-29,36.18,45.448,57.27,35.78
2022-01-30,35.72,44.818,56.38,35.19
2022-01-31,34.98,44.196999999999996,55.48,34.58
2022-02-01,34.29,43.611000000000004,55.53,33.83
2022-02-02,33.66,42.977999999999994,55.3,33.03
2022-02-03,32.94,42.477,54.81,32.31
2022-02-04,32.49,41.795,54.11,31.62
2022-02-05,32.23,41.087,53.13,30.77
2022-02-06,32.03,40.367000000000004,51.99,29.92
2022-02-07,31.53,39.667,51.15,29.11
2022-02-08,30.97,38.93,50.58,28.21
2022-02-09,30.43,38.204,50.23,27.49
2022-02-10,29.85,37.439,49.59,26.94
2022-02-11,29.19,36.692,48.72,26.46
2022-02-12,28.52,35.945,47.73,25.76
2022-02-13,28.13,35.208999999999996,46.81,24.97
2022-02-14,27.59,34.553,45.94,24.29
2022-02-15,27.15,33.964,45.6,23.7
2022-02-16,26.84,33.412,45.37,23.21
2022-02-17,26.5,32.836,44.93,22.7
2022-02-18,26.26,32.227,44.29,22.17
2022-02-19,25.9,31.625,43.59,21.41
2022-02-20,25.63,31.141000000000002,42.98,20.86
2022-02-21,25.09,30.644,42.35,20.21
2022-02-22,24.61,30.135,41.95,19.46
2022-02-23,24.26,29.623,41.68,18.58
2022-02-24,23.93,29.161,41.33,17.94
2022-02-25,23.34,28.635,40.69,17.27
2022-02-26,22.94,28.057,39.69,16.35
2022-02-27,22.61,27.504,38.72,15.42
2022-02-28,22.04,26.916000000000004,37.85,14.45
