week_num,2023,2022,Mittelwert,Maximum,Minimum
01,6767.786,7651.589,8318.452428571429,9216.114,5476.557
02,6896.908,8066.213,9108.819571428572,9753.617,8487.595
03,7044.286,8159.176,9032.862428571429,9824.584,8219.204
04,7242.059,8207.221,9095.08157142857,10109.707,8062.046
05,7378.97,7823.991,8942.956428571428,9866.775,8037.11
06,7479.017,7508.512,8888.96542857143,9670.422,7885.674
07,7163.013,7108.709,8581.292857142858,9536.274,7246.047
08,6800.813,7165.547,8337.417857142858,9163.638,7028.066
09,6327.206,7143.733,8207.681142857142,8889.954,6996.787
10,5769.695,6612.58,8041.541571428571,8837.654,7204.709
11,5678.536,5841.751,7864.258142857143,8554.464,7039.443
12,5597.114,5318.977,7613.491857142857,8448.67,6558.983
13,5700.773,5090.002,7346.370714285715,8104.281,6412.41
14,5971.99,5239.899,7171.4195714285715,7711.208,6295.545
15,5477.903,5112.625,7091.161142857142,7672.835,6295.104
16,5668.201,4987.497,6875.233428571429,7463.107,6097.822
17,6058.089,4781.317,6850.527285714285,7457.153,5951.002
18,5862.946,4750.32,6664.235428571429,7343.283,5670.5
19,5709.192,4548.146,6539.672714285714,7107.694,5813.759
20,5652.578,4572.19,6641.2341428571435,7214.501,5659.212
21,5493.659,4465.492,6514.010428571429,7084.041,5430.658
22,5210.687,4867.495,6499.4890000000005,7136.864,5461.707
23,5073.747,4682.384,6454.545285714286,7025.156,5366.788
24,5138.446,4611.802,6366.444,7107.125,5065.083
25,5408.328,4755.108,6391.0764285714295,7107.74,4932.165
26,5510.585,4538.123,6312.936428571428,7282.582,4648.334
27,5656.199,4450.765,6304.562285714286,7298.732,4388.928
28,5159.086,4302.26,6398.300714285715,7575.652,4818.135
29,5567.398,4040.104,6560.687714285714,7707.804,5316.364
30,5331.717,4019.321,6451.281571428571,7237.962,5410.202
31,4905.994,4230.903,6331.9391428571425,7463.334,5203.898
32,5169.914,4230.467,6226.040428571428,7236.765,5232.351
33,5577.503,4171.893,6276.850428571429,7246.708,5312.17
34,5511.303,3757.439,6285.762000000001,7307.846,5168.874
35,5872.546,3789.138,6334.873714285714,7091.795,4942.491
36,6377.701,4017.873,6486.521857142857,7365.967,4767.24
37,6563.605,4270.601,6608.162285714286,7420.19,4915.852
38,6041.333,4498.294,6394.297285714286,7030.625,4901.332
39,6155.827,4445.234,6342.145285714286,6961.298,5267.638
40,6241.845,4367.921,6506.7398571428575,7046.9,5692.313
41,6377.082,4684.878,6704.335285714286,7384.376,6156.391
42,6513.408,4567.708,6811.292571428571,7930.825,6003.638
43,6329.656,4656.507,6883.240857142858,8059.732,6401.295
44,5868.643,4617.339,6982.559714285714,7919.736,6374.963
45,6017.647,4888.257,7137.167571428572,8070.283,6648.611
46,6290.347,4999.918,7274.342285714286,8058.16,6791.226
47,,5267.274,7433.338571428571,8267.826,6819.222
48,,5839.396,7836.753857142858,8784.977,7081.987
49,,6393.608,8002.712428571429,9051.931,7089.055
50,,6948.34,8128.416571428571,9432.097,7269.493
51,,6358.493,8157.809142857143,9431.264,7109.792
52,,5315.613,8348.709499999999,9121.016,7738.575
