Kalenderwoche_show,2023,Mittelwert
2023W1,60.0,-61.13636363636363
2023W2,,-156.52173913043478
2023W3,,-326.2173913043478
2023W4,,-345.95652173913044
2023W5,,-388.8695652173913
2023W6,,-338.0
2023W7,,-318.17391304347825
2023W8,,-315.82608695652175
2023W9,,-310.2608695652174
2023W10,,-312.7826086956522
2023W11,,-252.17391304347825
2023W12,,-197.95652173913044
2023W13,,-155.6086956521739
2023W14,,-167.2173913043478
2023W15,,-131.91304347826087
2023W16,,-103.82608695652173
2023W17,,-36.91304347826087
2023W18,,41.78260869565217
2023W19,,103.73913043478261
2023W20,,180.69565217391303
2023W21,,209.7391304347826
2023W22,,333.7826086956522
2023W23,,402.30434782608694
2023W24,,481.5217391304348
2023W25,,560.1304347826087
2023W26,,534.6086956521739
2023W27,,476.4347826086956
2023W28,,453.2173913043478
2023W29,,404.3478260869565
2023W30,,319.2173913043478
2023W31,,336.7826086956522
2023W32,,369.4782608695652
2023W33,,295.2608695652174
2023W34,,257.39130434782606
2023W35,,176.43478260869566
2023W36,,134.7391304347826
2023W37,,95.43478260869566
2023W38,,31.434782608695652
2023W39,,9.73913043478261
2023W40,,-46.95652173913044
2023W41,,-14.869565217391305
2023W42,,-39.04347826086956
2023W43,,-110.3913043478261
2023W44,,-103.47826086956522
2023W45,,-87.82608695652173
2023W46,,-135.43478260869566
2023W47,,-192.7826086956522
2023W48,,-236.69565217391303
2023W49,,-296.69565217391306
2023W50,,-288.0
2023W51,,-370.60869565217394
2023W52,,-281.0869565217391
