date_datawrapper,2023,2022,Mittelwert,Maximum,Minimum
2023-01-01,84.28,58.31,65.49272727272728,85.1,51.26
2023-01-02,84.27,58.44,64.9809090909091,84.26,50.93
2023-01-03,83.9,58.3,64.42181818181818,83.66,50.57
2023-01-04,83.67,57.97,63.82,83.06,50.25
2023-01-05,83.26,57.33,63.194545454545455,82.4,49.9
2023-01-06,82.97,56.64,62.54272727272728,81.46,49.57
2023-01-07,82.76,55.84,61.88727272727272,80.51,49.16
2023-01-08,82.4,55.33,61.25181818181818,79.74,48.53
2023-01-09,81.94,54.73,60.626363636363635,78.99,47.87
2023-01-10,81.36,53.71,59.97636363636364,78.31,47.27
2023-01-11,80.89,52.66,59.31818181818182,77.61,46.69
2023-01-12,80.48,51.64,58.709999999999994,77.06,46.05
2023-01-13,80.03,50.52,58.11454545454546,76.34,45.46
2023-01-14,79.67,49.37,57.41818181818182,75.25,44.93
2023-01-15,79.2,48.46,56.70545454545454,74.2,44.32
2023-01-16,78.45,47.67,55.98272727272727,73.13,43.71
2023-01-17,77.58,46.62,55.21636363636364,72.05,43.02
2023-01-18,76.64,45.6,54.41272727272727,70.91,42.36
2023-01-19,75.65,44.76,53.621818181818185,69.7,41.68
2023-01-20,74.54,43.82,52.844545454545454,68.32,41.13
2023-01-21,73.63,42.9,52.03181818181818,66.82,40.58
2023-01-22,72.66,42.04,51.21909090909091,65.3,39.93
2023-01-23,71.65,41.22,50.43,63.78,39.33
2023-01-24,70.68,40.28,49.67272727272727,62.41,38.81
2023-01-25,69.74,39.32,48.92090909090909,61.33,38.17
2023-01-26,68.75,38.34,48.20727272727272,60.43,37.48
2023-01-27,67.72,37.4,47.53454545454545,59.46,36.91
2023-01-28,66.81,36.67,46.86272727272728,58.41,36.41
2023-01-29,65.94,36.18,46.21454545454546,57.27,35.78
2023-01-30,64.96,35.72,45.559090909090905,56.38,35.19
2023-01-31,64.3,34.98,44.91818181818182,55.48,34.58
2023-02-01,63.53,34.29,44.32636363636364,55.53,33.83
2023-02-02,62.66,33.66,43.71181818181818,55.3,33.03
2023-02-03,61.82,32.94,43.20363636363636,54.81,32.31
2023-02-04,61.16,32.49,42.50272727272727,54.11,31.62
2023-02-05,60.52,32.23,41.78,53.13,30.77
2023-02-06,59.43,32.03,41.06818181818182,51.99,29.92
2023-02-07,58.48,31.53,40.36363636363637,51.15,29.11
2023-02-08,57.42,30.97,39.626363636363635,50.58,28.21
2023-02-09,56.28,30.43,38.93636363636364,50.23,27.49
2023-02-10,55.14,29.85,38.195454545454545,49.59,26.94
2023-02-11,54.26,29.19,37.43636363636364,48.72,26.46
2023-02-12,53.44,28.52,36.68090909090909,47.73,25.76
2023-02-13,52.46,28.13,35.93909090909091,46.81,24.97
2023-02-14,51.45,27.59,35.28363636363636,45.94,24.29
2023-02-15,50.43,27.15,34.691818181818185,45.6,23.7
2023-02-16,49.78,26.84,34.16181818181818,45.37,23.21
2023-02-17,49.18,26.5,33.61272727272728,44.93,22.7
2023-02-18,48.75,26.26,33.02090909090909,44.29,22.17
2023-02-19,48.3,25.9,32.43636363636364,43.59,21.41
2023-02-20,47.57,25.63,31.94454545454545,42.98,20.86
2023-02-21,46.8,25.09,31.46,42.35,20.21
2023-02-22,46.11,24.61,30.970000000000002,41.95,19.46
2023-02-23,45.28,24.26,30.517272727272726,41.68,18.58
2023-02-24,44.46,23.93,30.09909090909091,41.33,17.94
2023-02-25,43.94,23.34,29.59363636363636,40.69,17.27
2023-02-26,43.31,22.94,29.04272727272727,39.69,16.35
2023-02-27,42.37,22.61,28.531818181818185,38.72,15.42
2023-02-28,41.52,22.04,27.982727272727274,37.85,14.45
2023-03-01,40.64,21.64,27.416363636363634,36.99,13.52
2023-03-02,39.81,21.25,27.04272727272727,36.37,12.66
2023-03-03,38.9,20.91,26.644545454545458,35.59,12.09
2023-03-04,38.23,20.72,26.24090909090909,35.0,11.61
2023-03-05,37.55,20.52,25.833636363636366,34.31,11.06
2023-03-06,36.46,20.26,25.478181818181817,33.82,10.51
2023-03-07,35.48,19.66,25.137272727272727,33.56,9.96
2023-03-08,34.7,19.2,24.84181818181818,33.36,9.45
2023-03-09,33.96,18.86,24.569999999999997,33.06,9.17
2023-03-10,33.2,18.73,24.382727272727276,32.81,9.04
2023-03-11,32.49,18.77,24.19909090909091,32.53,8.93
2023-03-12,32.02,19.04,24.013636363636362,32.22,8.66
2023-03-13,31.62,19.16,23.744545454545456,31.9,8.36
2023-03-14,30.95,18.85,23.51090909090909,31.61,7.99
2023-03-15,30.1,18.77,23.34181818181818,31.59,7.65
2023-03-16,29.55,18.81,23.157272727272726,31.26,7.27
2023-03-17,29.26,18.96,22.982727272727274,31.28,6.95
2023-03-18,29.17,19.23,22.77,31.2,6.5
2023-03-19,29.02,19.78,22.552727272727275,31.19,5.9
2023-03-20,28.61,20.24,22.383636363636363,31.26,5.29
2023-03-21,28.45,20.51,22.206363636363633,31.47,4.77
2023-03-22,28.36,20.82,22.048181818181817,31.54,4.31
2023-03-23,28.23,21.18,21.91909090909091,31.44,3.88
2023-03-24,28.42,21.54,21.832727272727272,31.11,3.75
2023-03-25,28.57,22.14,21.732727272727274,30.76,3.7
2023-03-26,28.61,22.81,21.64727272727273,30.41,3.52
2023-03-27,28.24,23.44,21.57,30.33,3.32
2023-03-28,27.61,23.81,21.53,30.32,3.16
2023-03-29,27.46,24.09,21.575454545454548,30.21,3.04
2023-03-30,27.55,24.07,21.626363636363635,29.93,2.97
2023-03-31,27.66,23.66,21.181818181818183,30.01,2.9
2023-04-01,28.29,23.31,21.55636363636364,30.06,2.85
2023-04-02,28.47,23.07,22.049999999999997,30.57,2.82
2023-04-03,28.33,22.86,22.195454545454545,30.66,2.82
2023-04-04,28.12,22.58,22.333636363636366,30.68,2.88
2023-04-05,27.97,22.45,22.480909090909094,31.29,2.85
2023-04-06,27.78,22.56,22.671818181818182,32.21,2.95
2023-04-07,27.83,22.79,22.810909090909092,32.78,3.12
2023-04-08,27.99,22.77,22.95818181818182,33.53,3.31
2023-04-09,28.3,22.9,23.136363636363637,34.3,3.28
2023-04-10,28.64,23.09,23.33,35.1,3.27
2023-04-11,28.81,23.45,23.496363636363636,35.93,3.31
2023-04-12,28.89,23.91,23.635454545454547,36.75,3.31
2023-04-13,28.76,24.43,23.80545454545455,37.55,3.37
2023-04-14,28.89,24.77,23.982727272727274,38.2,3.45
2023-04-15,29.28,25.42,24.16090909090909,38.89,3.8
2023-04-16,29.65,26.15,24.333636363636366,39.69,3.99
2023-04-17,29.93,26.9,24.568181818181817,40.51,4.32
2023-04-18,30.33,27.64,24.85545454545455,41.32,4.72
2023-04-19,30.94,28.12,25.098181818181818,42.13,5.16
2023-04-20,31.52,28.59,25.36090909090909,42.87,5.62
2023-04-21,32.12,28.79,25.665454545454544,43.58,6.12
2023-04-22,32.74,29.28,25.99727272727273,44.3,6.63
2023-04-23,33.41,29.88,26.311818181818182,45.09,7.05
2023-04-24,34.0,30.43,26.652727272727272,45.91,7.52
2023-04-25,34.49,30.75,26.99727272727273,46.72,7.97
2023-04-26,34.8,31.06,27.245454545454546,47.49,8.43
2023-04-27,35.37,31.43,27.484545454545454,48.28,8.91
2023-04-28,35.93,31.91,27.736363636363638,49.07,9.4
2023-04-29,36.58,32.43,27.98909090909091,49.87,9.85
2023-04-30,37.35,33.06,28.268181818181816,50.62,10.15
2023-05-01,38.05,33.65,28.662727272727274,51.36,10.55
2023-05-02,38.58,34.18,29.00181818181818,52.09,10.94
2023-05-03,39.18,34.8,29.35363636363636,52.84,11.31
2023-05-04,39.89,35.39,29.715454545454545,53.55,11.75
2023-05-05,40.39,35.95,30.072727272727274,54.29,12.31
2023-05-06,40.97,36.58,30.425454545454546,55.06,12.9
2023-05-07,41.71,37.24,30.824545454545454,55.83,13.46
2023-05-08,42.4,37.93,31.316363636363636,56.62,13.98
2023-05-09,43.02,38.49,31.774545454545454,57.41,14.43
2023-05-10,43.59,39.1,32.302727272727275,58.22,15.0
2023-05-11,44.19,39.71,32.72181818181818,58.58,15.56
2023-05-12,44.78,40.33,33.11727272727273,58.82,16.17
2023-05-13,45.45,40.92,33.49090909090909,59.09,16.67
2023-05-14,46.13,41.57,33.875454545454545,59.41,17.08
2023-05-15,46.04,42.24,34.21818181818182,59.68,17.5
2023-05-16,46.99,42.87,34.60636363636363,60.37,17.97
2023-05-17,47.51,43.51,35.0,61.11,18.46
2023-05-18,48.04,43.92,35.405454545454546,61.87,18.95
2023-05-19,48.5,44.41,35.84090909090909,62.5,19.6
2023-05-20,49.02,45.05,36.28909090909091,63.21,20.32
2023-05-21,49.53,45.79,36.75727272727273,63.98,21.01
2023-05-22,49.74,46.6,37.23454545454546,64.76,21.32
2023-05-23,49.96,47.2,37.68818181818182,65.55,21.53
2023-05-24,50.12,47.86,38.10636363636364,66.24,21.66
2023-05-25,50.45,48.48,38.52909090909091,66.9,21.89
2023-05-26,50.79,49.21,38.96181818181819,67.62,22.23
2023-05-27,51.16,49.94,39.376363636363635,68.17,22.48
2023-05-28,51.55,50.62,39.81090909090909,68.78,22.75
2023-05-29,51.85,51.24,40.264545454545456,69.43,23.03
2023-05-30,52.0,51.67,40.695454545454545,70.01,23.38
2023-05-31,52.18,52.04,41.10545454545454,70.75,23.74
2023-06-01,52.34,52.34,41.54454545454546,71.52,24.15
