,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2018-01-01 06:00,2018-01-02 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 01:52,,Confirmed,no,,,,
1,Physical Flow,day,2018-01-02 06:00,2018-01-03 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 01:45,,Confirmed,no,,,,
2,Physical Flow,day,2018-01-03 06:00,2018-01-04 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 00:47,,Confirmed,no,,,,
3,Physical Flow,day,2018-01-04 06:00,2018-01-05 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 01:52,,Confirmed,no,,,,
4,Physical Flow,day,2018-01-05 06:00,2018-01-06 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 03:39,,Confirmed,no,,,,
5,Physical Flow,day,2018-01-06 06:00,2018-01-07 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 00:47,,Confirmed,no,,,,
6,Physical Flow,day,2018-01-07 06:00,2018-01-08 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 01:52,,Confirmed,no,,,,
7,Physical Flow,day,2018-01-08 06:00,2018-01-09 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 01:13,,Confirmed,no,,,,
8,Physical Flow,day,2018-01-09 06:00,2018-01-10 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 00:47,,Confirmed,no,,,,
9,Physical Flow,day,2018-01-10 06:00,2018-01-11 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 02:38,,Confirmed,no,,,,
10,Physical Flow,day,2018-01-11 06:00,2018-01-12 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 00:09,,Confirmed,no,,,,
11,Physical Flow,day,2018-01-12 06:00,2018-01-13 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 02:29,,Confirmed,no,,,,
12,Physical Flow,day,2018-01-13 06:00,2018-01-14 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 01:45,,Confirmed,no,,,,
13,Physical Flow,day,2018-01-14 06:00,2018-01-15 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 00:09,,Confirmed,no,,,,
14,Physical Flow,day,2018-01-15 06:00,2018-01-16 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 02:29,,Confirmed,no,,,,
15,Physical Flow,day,2018-01-16 06:00,2018-01-17 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 03:39,,Confirmed,no,,,,
16,Physical Flow,day,2018-01-17 06:00,2018-01-18 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 00:09,,Confirmed,no,,,,
17,Physical Flow,day,2018-01-18 06:00,2018-01-19 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 01:45,,Confirmed,no,,,,
18,Physical Flow,day,2018-01-19 06:00,2018-01-20 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 03:39,,Confirmed,no,,,,
19,Physical Flow,day,2018-01-20 06:00,2018-01-21 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 01:52,,Confirmed,no,,,,
20,Physical Flow,day,2018-01-21 06:00,2018-01-22 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 03:39,,Confirmed,no,,,,
21,Physical Flow,day,2018-01-22 06:00,2018-01-23 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 00:47,,Confirmed,no,,,,
22,Physical Flow,day,2018-01-23 06:00,2018-01-24 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 02:38,,Confirmed,no,,,,
23,Physical Flow,day,2018-01-24 06:00,2018-01-25 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 01:13,,Confirmed,no,,,,
24,Physical Flow,day,2018-01-25 06:00,2018-01-26 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 02:29,,Confirmed,no,,,,
25,Physical Flow,day,2018-01-26 06:00,2018-01-27 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 02:38,,Confirmed,no,,,,
26,Physical Flow,day,2018-01-27 06:00,2018-01-28 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,entry,kWh/d,,,,2021-01-16 00:09,,Confirmed,no,,,,
