,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2015-01-01 06:00,2015-01-02 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,6230358.0,2015-02-28 11:12,,Provisional,yes,,,,
1,Physical Flow,day,2015-01-02 06:00,2015-01-03 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,5829210.0,2015-02-28 11:12,,Provisional,yes,,,,
2,Physical Flow,day,2015-01-03 06:00,2015-01-04 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,4037397.0,2015-02-28 11:12,,Provisional,yes,,,,
3,Physical Flow,day,2015-01-04 06:00,2015-01-05 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,4827886.0,2015-02-28 11:12,,Provisional,yes,,,,
4,Physical Flow,day,2015-01-05 06:00,2015-01-06 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,6518455.0,2015-02-28 11:12,,Provisional,yes,,,,
5,Physical Flow,day,2015-01-06 06:00,2015-01-07 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,6792700.0,2015-02-28 11:12,,Provisional,yes,,,,
6,Physical Flow,day,2015-01-07 06:00,2015-01-08 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,6527860.0,2015-02-28 11:12,,Provisional,yes,,,,
7,Physical Flow,day,2015-01-08 06:00,2015-01-09 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,4861005.0,2015-02-28 11:12,,Provisional,yes,,,,
8,Physical Flow,day,2015-01-09 06:00,2015-01-10 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,860716.0,2015-02-28 11:12,,Provisional,yes,,,,
9,Physical Flow,day,2015-01-10 06:00,2015-01-11 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,93068.0,2015-02-28 11:12,,Provisional,yes,,,,
10,Physical Flow,day,2015-01-11 06:00,2015-01-12 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,4330486.0,2015-02-28 11:12,,Provisional,yes,,,,
11,Physical Flow,day,2015-01-12 06:00,2015-01-13 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,5297618.0,2015-02-28 11:12,,Provisional,yes,,,,
12,Physical Flow,day,2015-01-13 06:00,2015-01-14 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,4018553.0,2015-02-28 11:12,,Provisional,yes,,,,
13,Physical Flow,day,2015-01-14 06:00,2015-01-15 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,4270749.0,2015-02-28 11:12,,Provisional,yes,,,,
14,Physical Flow,day,2015-01-15 06:00,2015-01-16 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,4117273.0,2015-02-28 11:12,,Provisional,yes,,,,
15,Physical Flow,day,2015-01-16 06:00,2015-01-17 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,3592015.0,2015-02-28 11:12,,Provisional,yes,,,,
16,Physical Flow,day,2015-01-17 06:00,2015-01-18 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,3693215.0,2015-02-28 11:12,,Provisional,yes,,,,
17,Physical Flow,day,2015-01-18 06:00,2015-01-19 06:00,21X000000001163D,terranets bw GmbH,RC Basel,21Z000000000253Q,exit,kWh/d,,,5932957.0,2015-02-28 11:12,,Provisional,yes,,,,
