,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2015-01-01 06:00,2015-01-02 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,6231512.25,2015-03-08 15:32,,Confirmed,no,,,,
1,Physical Flow,day,2015-01-02 06:00,2015-01-03 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5816788.5,2015-03-08 15:32,,Confirmed,no,,,,
2,Physical Flow,day,2015-01-03 06:00,2015-01-04 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5060573.25,2015-03-08 15:32,,Confirmed,no,,,,
3,Physical Flow,day,2015-01-04 06:00,2015-01-05 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,3895989.0,2015-03-08 15:32,,Confirmed,no,,,,
4,Physical Flow,day,2015-01-05 06:00,2015-01-06 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5256682.5,2015-03-08 15:32,,Confirmed,no,,,,
5,Physical Flow,day,2015-01-06 06:00,2015-01-07 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5499189.75,2015-03-08 15:32,,Confirmed,no,,,,
6,Physical Flow,day,2015-01-07 06:00,2015-01-08 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,6091569.0,2015-03-08 15:32,,Confirmed,no,,,,
7,Physical Flow,day,2015-01-08 06:00,2015-01-09 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,6063680.25,2015-03-08 15:32,,Confirmed,no,,,,
8,Physical Flow,day,2015-01-09 06:00,2015-01-10 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5493112.5,2015-03-08 15:32,,Confirmed,no,,,,
9,Physical Flow,day,2015-01-10 06:00,2015-01-11 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,4211617.5,2015-03-08 15:32,,Confirmed,no,,,,
10,Physical Flow,day,2015-01-11 06:00,2015-01-12 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,4341543.0,2015-03-08 15:32,,Confirmed,no,,,,
11,Physical Flow,day,2015-01-12 06:00,2015-01-13 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5481901.5,2015-03-08 15:32,,Confirmed,no,,,,
12,Physical Flow,day,2015-01-13 06:00,2015-01-14 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5627616.75,2015-03-08 15:32,,Confirmed,no,,,,
13,Physical Flow,day,2015-01-14 06:00,2015-01-15 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5680536.0,2015-03-08 15:32,,Confirmed,no,,,,
14,Physical Flow,day,2015-01-15 06:00,2015-01-16 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5855444.25,2015-03-08 15:32,,Confirmed,no,,,,
15,Physical Flow,day,2015-01-16 06:00,2015-01-17 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5576279.25,2015-03-08 15:32,,Confirmed,no,,,,
16,Physical Flow,day,2015-01-17 06:00,2015-01-18 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,4977573.0,2015-03-08 15:32,,Confirmed,no,,,,
17,Physical Flow,day,2015-01-18 06:00,2015-01-19 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5377728.0,2015-03-08 15:32,,Confirmed,no,,,,
18,Physical Flow,day,2015-01-19 06:00,2015-01-20 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,5935031.25,2015-03-08 15:32,,Confirmed,no,,,,
19,Physical Flow,day,2015-01-20 06:00,2015-01-21 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas S.p.A.,Bizzarone,21Z000000000277C,exit,kWh/d,,Physical flows are based on measures and can include estimate (delivery points). Provisional data for day D is made available by 11.30 of each day D+1. The definitive data for each month M is made available by the 28th day of the month M+1.,6071533.5,2015-03-08 15:32,,Confirmed,no,,,,
