,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2018-01-01 06:00,2018-01-02 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3611687,2022-01-24 10:51,,Confirmed,yes,,yes,,
1,Physical Flow,day,2018-01-02 06:00,2018-01-03 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3601896,2022-01-24 10:51,,Confirmed,yes,,yes,,
2,Physical Flow,day,2018-01-03 06:00,2018-01-04 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3602376,2022-01-24 10:51,,Confirmed,yes,,yes,,
3,Physical Flow,day,2018-01-04 06:00,2018-01-05 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3605258,2022-01-24 10:51,,Confirmed,yes,,yes,,
4,Physical Flow,day,2018-01-05 06:00,2018-01-06 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3602451,2022-01-24 10:51,,Confirmed,yes,,yes,,
5,Physical Flow,day,2018-01-06 06:00,2018-01-07 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3606869,2022-01-24 10:51,,Confirmed,yes,,yes,,
6,Physical Flow,day,2018-01-07 06:00,2018-01-08 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3603406,2022-01-24 10:51,,Confirmed,yes,,yes,,
7,Physical Flow,day,2018-01-08 06:00,2018-01-09 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3602197,2022-01-24 10:51,,Confirmed,yes,,yes,,
8,Physical Flow,day,2018-01-09 06:00,2018-01-10 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3603389,2022-01-24 10:51,,Confirmed,yes,,yes,,
9,Physical Flow,day,2018-01-10 06:00,2018-01-11 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3604911,2022-01-24 10:51,,Confirmed,yes,,yes,,
10,Physical Flow,day,2018-01-11 06:00,2018-01-12 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3603320,2022-01-24 10:51,,Confirmed,yes,,yes,,
