,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2017-01-01 06:00,2017-01-02 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,223487104.0,2018-02-06 15:28,,Provisional,yes,,,,
1,Physical Flow,day,2017-01-02 06:00,2017-01-03 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,238282460.0,2018-02-06 15:34,,Provisional,yes,,,,
2,Physical Flow,day,2017-01-03 06:00,2017-01-04 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,289585754.0,2018-02-06 15:34,,Provisional,yes,,,,
3,Physical Flow,day,2017-01-04 06:00,2017-01-05 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,292432298.0,2018-02-06 15:34,,Provisional,yes,,,,
4,Physical Flow,day,2017-01-05 06:00,2017-01-06 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,294229829.0,2018-02-06 15:34,,Provisional,yes,,,,
5,Physical Flow,day,2017-01-06 06:00,2017-01-07 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,286570860.0,2018-02-06 15:34,,Provisional,yes,,,,
6,Physical Flow,day,2017-01-07 06:00,2017-01-08 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,282784978.0,2018-02-06 15:34,,Provisional,yes,,,,
7,Physical Flow,day,2017-01-08 06:00,2017-01-09 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,293705420.0,2018-02-06 15:42,,Provisional,yes,,,,
8,Physical Flow,day,2017-01-09 06:00,2017-01-10 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,486907611.0,2018-02-06 15:42,,Provisional,yes,,,,
9,Physical Flow,day,2017-01-10 06:00,2017-01-11 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,527362589.0,2018-02-06 15:42,,Provisional,yes,,,,
10,Physical Flow,day,2017-01-11 06:00,2017-01-12 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,545519855.0,2018-02-06 15:42,,Provisional,yes,,,,
